question,label
"What is IoT?",0
"What is a sensor?",0
"Define cloud computing",0
"List IoT protocols",0
"Name three types of networks",0
"State the purpose of HTTP",0
"Identify components of IoT",0
"Recall the OSI model layers",0
"What is edge computing?",0
"Define machine learning",0
"Define IoT",0
"What is Internet of Things",0
"List characteristics of IoT",0
"What is a sensor",0
"What is machine learning",0
"Define cloud computing",0
"List types of networks",0
"What is edge computing",0
"Define artificial intelligence",0
"List advantages of cloud computing",0
"Define M2M communication",0
"List components of IoT system",0
"Define smart devices",0
"Explain IoT architecture",1
"Explain physical design of IoT",1
"Explain logical design of IoT",1
"Explain layered architecture of IoT",1
"Explain M2M system architecture",1
"Compare M2M and IoT",1
"Explain gradient descent algorithm",1
"Explain supervised learning algorithm",1
"Discuss advantages of edge computing",1
"Explain cloud service models",1
"Explain TCP/IP layered architecture",1
"Discuss security challenges in IoT",1
"Explain deep learning architecture",1
"Compare classification and regression",1
"Explain convolutional neural networks",1
"Explain database normalization process",1
"Explain microservices architecture",1
"Discuss challenges in distributed systems",1
"Compare SQL and NoSQL databases",1
"Explain REST API architecture",1
"Analyze IoT data processing pipeline",1
"Explain smart city IoT architecture",1
"Compare fog computing and cloud computing",1
"Explain blockchain architecture",1
"Analyze security threats in IoT networks",1
"Discuss advantages of neural networks",1
"Explain reinforcement learning architecture",1
"Recall the definition of a firewall",0
"Name the layers of the TCP/IP model",0
"State the function of a DNS server",0
"Identify the purpose of an API",0
"What is a microservice?",0
"List three benefits of containerization",0
"Define RESTful web services",0
"What is the role of a load balancer?",0
"Name common IoT communication protocols",0
"State the difference between HTTP and HTTPS",0
"Identify key components of a smart home system",0
"What is supervised learning?",0
"List types of machine learning algorithms",0
"Define neural networks",0
"What is the purpose of data normalization?",0
"Recall the steps in the software development lifecycle",0
"Name three cloud deployment models",0
"State the meaning of latency in networking",0
"Identify the function of an IoT gateway",0
"What is edge analytics?",0
"Describe how MQTT protocol works",3
"Summarize the benefits of using containers",3
"Explain the concept of pub-sub messaging",3
"Interpret the role of middleware in IoT",3
"Classify different types of cloud services",3
"What are the main challenges in IoT security?",3
"Explain how sensor fusion improves accuracy",3
"Describe the workflow of a typical REST API call",3
"Apply encryption techniques to secure data transmission",4
"Use a decision tree to classify IoT device data",4
"Demonstrate how to implement basic authentication",4
"Calculate the bandwidth needed for 100 sensors",4
"Apply normalization rules to a sensor database schema",4
"Use SQL to aggregate telemetry data from devices",4
"Implement a simple rule engine for IoT alerts",4
"Calculate network overhead for MQTT vs HTTP",4
"Apply access control policies to a smart building system",4
"Use clustering to group similar sensor readings",4
"Analyze the trade-offs between edge and cloud processing",6
"Compare the security models of Zigbee and LoRaWAN",6
"Explain how blockchain can enhance IoT data integrity",6
"Discuss the impact of 5G on real-time IoT applications",6
"Compare monolithic and microservices architectures for IoT",6
"Analyze failure modes in a distributed sensor network",6
"Explain how federated learning preserves privacy in IoT",6
"Discuss scalability challenges in city-wide IoT deployments",6
"Compare the energy efficiency of different wireless protocols",6
"Analyze the cost-benefit of predictive maintenance systems",6
"Evaluate the suitability of Kubernetes for edge IoT workloads",7
"Assess security vulnerabilities in a smart healthcare system",7
"Justify the choice of NoSQL over SQL for time-series sensor data",7
"Critique the architecture of a given smart city proposal",7
"Evaluate different edge AI frameworks for resource-constrained devices",7
"Assess the privacy implications of continuous location tracking",7
"Justify using event-driven architecture for IoT data pipelines",7
"Critique the fault tolerance design of a multi-region deployment",7
"Evaluate authentication strategies for heterogeneous IoT devices",7
"Assess risks of over-reliance on cloud connectivity in critical systems",7
"Design an end-to-end secure firmware update mechanism for IoT devices",8
"Develop a real-time anomaly detection system for industrial sensors",8
"Propose a data governance framework for multi-tenant IoT platforms",8
"Formulate a strategy to migrate legacy SCADA systems to IoT architecture",8
"Create a machine learning pipeline that adapts to sensor drift",8
"Design a scalable message routing system for millions of devices",8
"Develop a privacy-preserving aggregation protocol for smart meters",8
"Propose improvements to reduce latency in video analytics at the edge",8
"Create a comprehensive monitoring dashboard for IoT fleet management",8
"Design a self-healing network topology for disaster response IoT",8
"Architect a multi-cloud IoT solution with automatic failover",9
"Evaluate and optimize an entire smart factory IoT ecosystem",9
"Design a fault-tolerant, globally distributed sensor data platform",9
"Create an end-to-end secure, scalable, and cost-optimized IoT solution",9
"Develop an AI-powered predictive maintenance system with edge inference",9
"Architect a global-scale, low-power wide-area network for asset tracking",9
"Design a self-configuring, self-healing mesh network for emergency response",9
"Create a comprehensive IoT governance framework covering security, privacy, and compliance",9
"Develop an automated security orchestration system for dynamic IoT environments",9
"Design a sustainable, energy-harvesting smart city infrastructure",9
"Analyze and redesign a legacy industrial control system for IoT integration",10
"Evaluate trade-offs across public, private, and hybrid cloud for a multinational IoT deployment",10
"Design a complete IoT solution addressing security, scalability, interoperability, and TCO",10
"Critique and iteratively improve an enterprise IoT architecture based on real-world constraints",10
"Develop a full-stack AIoT platform with edge computing, federated learning, and MLOps",10
"What is a VLAN?",0
